created_at,text,cleaned_text
Wed May 28 08:54:53 +0000 2025,Jalan kaki tapi pemandanganya setiap hari kek gini diantara pohon pinus pohon apel minusnya kaga ada mall dan sering lampu mati gojek pun ga ada https://t.co/bELlQCJ4K6,jalan kaki pemandanganya kek gin pohon pinus pohon apel minus kaga mall lampu mati gojek url
Tue May 27 12:47:11 +0000 2025,Halo @pln_123 mohon bantuannya ya utk segera memperbaiki lampu jalan umum yg mati dari hari minggu (25/5). Sudah lapor namun sampai saat ini belum ada tindak lanjut. Dijalan ini banyak anak kecil dan juga motor mobil yg lewat hawatir terjadi kecelakaan. #pln #pln123 #viral https://t.co/ilFMbfup5S,halo user mohon bantu utk baik lampu jalan mati lapor tindak jalan anak motor mobil hawatir celaka url
Tue May 27 07:32:41 +0000 2025,@optimusjuice Lha mau gimana lagi udh mati langkah mobilnya juga. Mau ga mau tetep nunggu lampu ijo sendernya juga lebay nyalahin pengendara mobil jadi bikin telat. Padahal di jalanan banyak yg modelan ngalangin jalan gitu,user lha gimana udh mati langkah mobil tetep nunggu lampu ijo sender nyalahin kendara mobil telat jalan model ngalangin jalan
Tue May 27 05:47:56 +0000 2025,@pemkab_brebes @LaporGub_ @dpu_kabbrebes @dishubbrebes Ok tlg jgn lama2 krn masyarakat butuh penerangan jalan..klo PJU Jalan Ketanggungan Larangan yg gelap gulita apa bisa diperbaiki jg?lampu PJU banyak tpi mati semua mohon bsa sekalian diperbaiki..trims,user user user user tlg masyarakat butuh terang jalan pju jalan tanggung larang gelap gulita baik lampu pju tpi mati mohon bsa baik trims
Tue May 27 03:28:47 +0000 2025,@zoelfick Dulu waktu kerja begadang di lt 3 sebuah stasiun TV swasta di JakBar kondisi lampu mati separuh kursi geser tiba² jalan sendiri. Gw berdiri jalan ke kursi itu gw tendang balik ke posisi semula. Kaga tau apa orang lg puyeng.,user kerja begadang stasiun swasta jakbar kondisi lampu mati paruh kursi geser jalan diri jalan kursi tendang posisi kaga tau orang puyeng
Mon May 26 13:07:39 +0000 2025,Jalan rusak &amp; lampu penerangan Jalan mati di jln Parangtritis KM. 5 depan bakmi Djawa 2djaman sblm lampu merah ringroad druwo Udah laporan 3x smp skrg blm ada tindak lanjut sdh bnyak yg jatuh apalagi kalau pas hujan Trmksh kak mhon disamarkan nma sy https://t.co/A3po07Xmtp,jalan rusak lampu terang jalan mati jalan parangtritis bakmi djawa djaman sblm lampu merah ringroad druwo lapor smp blm tindak bnyak jatuh hujan trmksh kak mhon samar nma url
Mon May 26 12:18:46 +0000 2025,@merapi_uncover Bisa gak ya pemda bentuk tim gerak cepat permaslahan jalan: jalan berlobang lampu penerangan jalan yg mati. Kemarin lihat di jl magelang daerah tempel juga ada lubang besar dan dalam. Kalau pemda bisa sat set benahi tentu kehadiran pemerintah akan sangat terasa,user pemda bentuk tim gerak cepat permaslahan jalan jalan berlobang lampu terang jalan mati kemarin lihat jalan magelang daerah tempel lubang besar pemda sat set benah hadir perintah
Mon May 26 12:06:41 +0000 2025,@pln_123 min kok di jalan ngesrep barat 3 srondol kulon semarang ga ada angin ga ada ujan mati lampu dr maghrib tadi,user min jalan ngesrep barat srondol kulon semarang angin ujan mati lampu maghrib
Mon May 26 12:02:16 +0000 2025,Kalo di sekitaran Jalan Riau sebulan bisa pemadaman 2-3x rutin setiap bulan. Sudah terjadi lama. Nah lokasi di Pekanbaru yang sangat jarang mati lampu di mana aja? _ Ada apa di Pekanbaru? Cek review @brosispku Cek beragam highlight di Instagram @brosispku Ingin https://t.co/lhmPjMkSL6,kalo sekitar jalan riau bulan madam rutin lokasi pekanbaru mati lampu pekanbaru cek review user cek agam highlight instagram user url
Sun May 25 14:07:43 +0000 2025,Halo pemilik mobil B 1839 BMA ini lampu rem Anda mati total. Saya ngeh lampu depan nyala. Dan udah di belakang dari sebelum jembatan non tol. Asli bahaya banget. Kl gada lampu jalan mobil hitam. Gda indikasi rem sama sekali https://t.co/QV3ksq0il8,halo milik mobil bma lampu rem mati total paham lampu nyala jembatan non tol asli bahaya tidak ada lampu jalan mobil hitam gda indikasi rem url
